e_norseid,le_id,d_id,e_fname,e_lname,e_job,e_start,e_email,e_contactno,e_note,data_origin
0109,4,3,Amye,Parsonson,Senior Buiding Surveyor,2022-07-12,Amye.Parsonson@Nordwick.co.uk,07700903654,Demo note only,demo
0122,4,3,Shaun,Boner,Senior Buiding Surveyor,2023-09-11,Shaun.Boner@Nordwick.co.uk,07700972581,Demo note only,demo
0007,4,3,Wendy,Ygou,Senior Manager,2003-01-03,Wendy.Ygou@Nordwick.co.uk,07700918463,Demo note only,demo
0027,4,1,Edie,January,Senior Architect,2011-03-01,Edie.January@Nordwick.co.uk,07700990352,Demo note only,demo
0065,4,1,Isabella,Markel,Architectural Technologist,2017-10-01,Isabella.Markel@Nordwick.co.uk,07700921769,Demo note only,demo
0036,4,3,Ellerey,Sherrum,Senior Manager,2012-09-01,Ellerey.Sherrum@Nordwick.co.uk,07700945836,Demo note only,demo
0046,4,1,Lucia,Jeffryes,Senior Architect,2014-08-01,Lucia.Jeffryes@Nordwick.co.uk,07700964055,Demo note only,demo
0118,4,1,Moore,Dolohunty,Senior Architect,2023-06-14,Moore.Dolohunty@Nordwick.co.uk,07700999124,Demo note only,demo
0091,4,1,Ulric,Tourner,Architect,2020-11-01,Ulric.Tourner@Nordwick.co.uk,07700974366,Demo note only,demo
0093,4,1,Thebault,McNelly,Architect,2021-04-01,Thebault.McNelly@Nordwick.co.uk,07700912974,Demo note only,demo
0039,4,1,Bertine,Haswall,Senior Manager,2013-04-01,Bertine.Haswall@Nordwick.co.uk,07700977604,Demo note only,demo
0059,4,3,Aida,Balderston,Senior Manager,2017-01-01,Aida.Balderston@Nordwick.co.uk,07700940492,Demo note only,demo
0017,4,3,Gardy,Assender,Senior Manager,2006-06-01,Gardy.Assender@Nordwick.co.uk,07700928317,Demo note only,demo
0121,4,1,Miranda,Murrthum,Architect,2013-07-01,Miranda.Murrthum@Nordwick.co.uk,07700911563,Demo note only,demo
0084,4,8,Bonnee,Walthall,Senior Mechanical Engineer,2021-01-01,Bonnee.Walthall@Nordwick.co.uk,07700982049,Demo note only,demo
0116,4,1,Jody,O'Hartigan,Senior Architect,2023-06-01,Jody.O'Hartigan@Nordwick.co.uk,07700973512,Demo note only,demo
0132,5,3,Crawford,Bute,Building Surveyor,2016-07-22,Crawford.Bute@Nordwick.co.uk,07700956287,Demo note only,demo
0117,5,3,Gaynor,Akitt,Building Surveyor,2023-06-05,Gaynor.Akitt@Nordwick.co.uk,07700990176,Demo note only,demo
0041,5,3,Mag,Maberley,Building Surveyor,2013-10-14,Mag.Maberley@Nordwick.co.uk,07700948725,Demo note only,demo
0133,5,3,Elisabetta,Kienlein,Senior Building Surveyor,2019-11-30,Elisabetta.Kienlein@Nordwick.co.uk,07700920396,Demo note only,demo
0113,5,3,Paddie,Imloch,Building Surveyor,2022-09-05,Paddie.Imloch@Nordwick.co.uk,07700969041,Demo note only,demo
0134,5,7,Winifred,Karadzas,Estates Surveyor,2015-04-04,Winifred.Karadzas@Nordwick.co.uk,07700986457,Demo note only,demo
0135,5,7,Carolan,Throughton,Senior Manager,2022-09-02,Carolan.Throughton@Nordwick.co.uk,07700902063,Demo note only,demo
0069,5,1,Fernanda,Holtaway,Senior Architectural Technician,2018-03-01,Fernanda.Holtaway@Nordwick.co.uk,07700954981,Demo note only,demo
0123,5,6,Sim,Wade,Electrical Engineer,2023-10-01,Sim.Wade@Nordwick.co.uk,07700981604,Demo note only,demo
0100,5,3,Sydney,O'Hoey,Senior Manager,2022-04-01,Sydney.O'Hoey@Nordwick.co.uk,07700902315,Demo note only,demo
0136,5,4,Dulcy,Gramer,CDM Advisor,2019-12-25,Dulcy.Gramer@Nordwick.co.uk,07700957268,Demo note only,demo
0077,5,8,Melosa,Acreman,Senior Manager,2019-03-01,Melosa.Acreman@Nordwick.co.uk,07700965931,Demo note only,demo
0094,5,10,Anastassia,Sims,Senior Quantity Surveyor,2021-08-01,Anastassia.Sims@Nordwick.co.uk,07700914395,Demo note only,demo
0028,5,8,Anabal,Boskell,Senior Mechanical Engineer,2011-11-01,Anabal.Boskell@Nordwick.co.uk,07700993264,Demo note only,demo
0137,5,7,Jaclyn,Glinde,Estates Surveyor,2012-03-01,Jaclyn.Glinde@Nordwick.co.uk,07700912430,Demo note only,demo
